Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),Laser PID Readout,Det PID Readout,win0Fit0,win0Fit1,win0Fit2,win0Fit3,win0Fit4,win0Fit5,win0Fit6,win0Fit7,win0Fit8,win0Fit9,win1Fit0,win1Fit1,win1Fit2,win1Fit3,win1Fit4,win1Fit5,win1Fit6,win1Fit7,win1Fit8,win1Fit9,Det Bkgd,Ramp Ampl,Init Win0 Chi2,Final Win0 Chi2,Init Win1 Chi2,Final Win1 Chi2,Ref Pos,CO2 (ppm)-Wet,CO2 (ppm),H2O (ppm),N2O (ppm)-Wet,N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Battery T (degC),FET T (degC),TEC Temp (degC),TEC Sink Temp (degC),TEC Power (W),Wall Code
11/07/2025 10:01:17.763,1,139.944,21.1446,23.3597,18.2479,19.5848,21.1446,108628,23806,-2.92698,0.0347683,-5.40412e-05,3.87493e-08,0.0791036,-2.65706,1.02692,0.0221429,-1.71915,0.913913,-20.2456,0.156722,-0.000337902,2.56708e-07,0.0612912,-1.66627,0.829784,0.181357,-2.21375,0.927647,2.5728,5.19567,201.22,0.00203456,145.294,0.000235612,550,586.825,591.149,5885.06,0.370399,0.373087,11927,15040,0,100,16.75,18.35,22.902,15.204,9.610,1023
11/07/2025 10:01:18.756,1,139.945,21.2013,23.3916,18.2232,19.6629,21.2013,108669,24086,-2.93056,0.0347914,-5.41984e-05,3.89364e-08,0.0783389,-2.60786,1.02692,0.0220705,-1.67325,0.913913,-20.1744,0.156092,-0.000336192,2.55149e-07,0.0608591,-1.63414,0.829784,0.182959,-2.17345,0.927647,2.57291,5.18747,0.00661069,0.00197729,0.00380604,0.000242043,550,580.968,585.278,5936.88,0.369285,0.371988,11927,15104,0,100,16.75,18.45,22.943,15.185,9.568,1023
11/07/2025 10:01:19.749,1,139.99,21.2587,23.3995,18.2181,19.702,21.2587,108638,24379,-2.92307,0.0347112,-5.40237e-05,3.87741e-08,0.0775492,-2.64878,1.02692,0.0220067,-1.69954,0.913913,-19.476,0.150883,-0.00032336,2.44603e-07,0.0602426,-1.67176,0.829784,0.184427,-2.22179,0.927647,2.57302,5.17982,0.00572388,0.00192051,0.00331084,0.000247872,550,574.926,579.218,5984.3,0.368317,0.371034,11926,15104,0,100,16.75,18.45,22.984,15.168,9.595,1023
11/07/2025 10:01:20.743,1,139.962,21.3135,23.4526,18.1687,19.7606,21.3135,108703,24656,-2.91524,0.0346201,-5.38429e-05,3.86137e-08,0.0768292,-2.59308,1.02692,0.0219064,-1.64861,0.913913,-19.1539,0.148442,-0.000317341,2.39622e-07,0.059694,-1.6384,0.829784,0.18523,-2.20973,0.927647,2.57305,5.16906,0.0098264,0.00190837,0.00650479,0.000256615,550,569.413,573.675,6010.18,0.366732,0.369448,11928,15104,0,100,16.85,18.45,23.024,15.145,9.635,1023
11/07/2025 10:01:21.736,1,139.958,21.3261,23.5057,18.2162,19.7802,21.3261,108728,24938,-2.90398,0.0345033,-5.35366e-05,3.83068e-08,0.0763984,-2.56479,1.02692,0.0218422,-1.61199,0.913913,-18.2124,0.141504,-0.000300405,2.25842e-07,0.0593227,-1.62933,0.829784,0.18728,-2.22721,0.927647,2.57309,5.16262,0.00465307,0.00188803,0.00249175,0.000264214,550,566.18,570.46,6076.67,0.36568,0.368417,11927,15104,12,100,16.75,18.45,23.069,15.121,9.597,1023
11/07/2025 10:01:22.729,1,139.979,21.3563,23.5249,18.3456,19.8583,21.3563,108708,25217,-2.8975,0.0344389,-5.34078e-05,3.81995e-08,0.075983,-2.60195,1.02692,0.0217803,-1.63187,0.913913,-17.4287,0.135709,-0.000286221,2.14271e-07,0.0589458,-1.66755,0.829784,0.188221,-2.3036,0.927647,2.57296,5.15664,0.00431813,0.00183955,0.00219958,0.000268685,550,563.007,567.28,6107.07,0.364695,0.367438,11926,15168,0,100,16.75,18.45,23.110,15.098,9.595,1023
11/07/2025 10:01:23.723,1,139.984,21.4083,23.5557,18.4111,19.917,21.4083,108777,25500,-2.88134,0.0342795,-5.29995e-05,3.78127e-08,0.075429,-2.52165,1.02692,0.0217298,-1.55524,0.913913,-16.9959,0.132502,-0.000278403,2.07903e-07,0.0584452,-1.62255,0.829784,0.188374,-2.30263,0.927647,2.57302,5.14909,0.00638474,0.00183887,0.00336568,0.000275104,550,558.739,562.977,6111.86,0.363938,0.366677,11927,15104,0,100,16.75,18.55,23.150,15.075,9.648,1023
11/07/2025 10:01:24.716,1,139.95,21.4659,23.6089,18.4714,19.956,21.4659,108769,25777,-2.86358,0.0341091,-5.25183e-05,3.73319e-08,0.0750962,-2.5298,1.02692,0.0217075,-1.54681,0.913913,-16.0243,0.125393,-0.000261152,1.93959e-07,0.0580357,-1.64015,0.829784,0.189148,-2.38058,0.927647,2.57316,5.14475,0.00303705,0.00182352,0.00129122,0.000269671,550,556.095,560.325,6136.78,0.363663,0.366411,11926,15104,0,100,16.75,18.65,23.191,15.049,9.647,1023
11/07/2025 10:01:25.709,1,139.971,21.4811,23.6613,18.5619,19.9951,21.4811,108798,26058,-2.83632,0.0338491,-5.17461e-05,3.65472e-08,0.0748974,-2.51708,1.02692,0.0217473,-1.51849,0.913913,-14.7766,0.116297,-0.000239129,1.76202e-07,0.0577159,-1.64326,0.829784,0.188907,-2.45523,0.927647,2.57322,5.14125,0.00260665,0.0018039,0.000899196,0.000252075,550,554.575,558.787,6128.92,0.364354,0.367104,11927,15104,0,100,16.85,18.65,23.235,15.027,9.601,1023
11/07/2025 10:01:26.702,1,139.982,21.5261,23.7124,18.5968,20.0537,21.5261,108844,26335,-2.81029,0.0335983,-5.10217e-05,3.5822e-08,0.0745789,-2.46256,1.02692,0.0217773,-1.46382,0.913913,-13.7278,0.108671,-0.000220732,1.61416e-07,0.0572668,-1.61676,0.829784,0.187623,-2.48445,0.927647,2.57308,5.13616,0.00388645,0.00181787,0.00163379,0.000243256,550,552.079,556.238,6087.11,0.364934,0.36767,11928,15104,0,100,16.85,18.65,23.275,15.010,9.631,1023
11/07/2025 10:01:27.696,1,139.988,21.5821,23.7652,18.5763,20.1026,21.5821,108815,26614,-2.81232,0.0336154,-5.11344e-05,3.59572e-08,0.0742121,-2.49542,1.02692,0.0217776,-1.48121,0.913913,-12.5705,0.100264,-0.000200471,1.45145e-07,0.0566734,-1.6482,0.829784,0.185978,-2.59137,0.927647,2.57314,5.13105,0.0035005,0.00181004,0.00161738,0.000233753,550,549.191,553.288,6033.55,0.365036,0.367748,11927,15104,0,100,16.85,18.75,23.315,14.987,9.672,1023
11/07/2025 10:01:28.689,1,139.966,21.6148,23.7363,18.5803,20.1612,21.6148,108886,26892,-2.80394,0.0335399,-5.09663e-05,3.58237e-08,0.0739715,-2.43286,1.02692,0.021796,-1.41985,0.913913,-11.713,0.0940672,-0.000185616,1.33282e-07,0.0562418,-1.61226,0.829784,0.183588,-2.61691,0.927647,2.57321,5.12721,0.00330837,0.00182508,0.00102081,0.000217318,550,547.31,551.337,5955.89,0.365399,0.368079,11927,15104,0,100,16.85,18.75,23.355,14.963,9.639,1023
11/07/2025 10:01:29.682,1,139.982,21.6207,23.667,18.6144,20.2491,21.6207,108899,27169,-2.80049,0.0335082,-5.09184e-05,3.57982e-08,0.0737572,-2.41748,1.02692,0.0218455,-1.39928,0.913913,-10.596,0.0859968,-0.000166258,1.17819e-07,0.0557317,-1.60226,0.829784,0.1808,-2.68201,0.927647,2.5733,5.12358,0.00267262,0.00183344,0.000901133,0.000199901,550,545.706,549.658,5865.42,0.36624,0.368886,11927,15104,0,100,16.75,18.65,23.395,14.937,9.634,1023
11/07/2025 10:01:30.675,1,139.957,21.6756,23.7173,18.6702,20.2491,21.6756,108881,27451,-2.7963,0.0334705,-5.08275e-05,3.57161e-08,0.0734781,-2.44857,1.02692,0.0218771,-1.41977,0.913913,-10.2215,0.0833769,-0.000160194,1.13152e-07,0.0552944,-1.62377,0.829784,0.17631,-2.77235,0.927647,2.57326,5.12186,0.00210657,0.00179707,0.000357309,0.000184703,550,543.475,547.308,5719.59,0.366864,0.369448,11927,15104,0,100,16.85,18.75,23.439,14.916,9.630,1023
11/07/2025 10:01:31.669,1,139.964,21.7302,23.7697,18.7825,20.3468,21.7302,108958,27725,-2.7757,0.0332655,-5.02514e-05,3.51441e-08,0.0731906,-2.37322,1.02692,0.0219553,-1.35728,0.913913,-9.60818,0.0789904,-0.000149833,1.04989e-07,0.0548966,-1.56901,0.829784,0.171704,-2.77438,0.927647,2.57345,5.11564,0.0051691,0.00180505,0.00233816,0.000170327,550,541.183,544.896,5570,0.36827,0.370797,11927,15168,0,100,16.85,18.75,23.479,14.901,9.690,1023
11/07/2025 10:01:32.662,1,139.969,21.7492,23.8227,18.8678,20.3468,21.7492,108939,28004,-2.76536,0.0331706,-4.99788e-05,3.48748e-08,0.072968,-2.38571,1.02692,0.0219955,-1.36459,0.913913,-9.72499,0.0799514,-0.000152447,1.07322e-07,0.0546453,-1.5697,0.829784,0.166428,-2.82397,0.927647,2.57344,5.11434,0.00192409,0.00179768,0.00025872,0.000159149,550,539.48,543.064,5398.8,0.368977,0.371431,11926,15104,0,100,16.85,18.75,23.519,14.886,9.696,1023
11/07/2025 10:01:33.655,1,139.996,21.7679,23.8726,18.9468,20.4445,21.7679,108970,28275,-2.7652,0.0331711,-5.00358e-05,3.49669e-08,0.0727397,-2.37508,1.02692,0.0220557,-1.35731,0.913913,-9.72842,0.0800784,-0.000153041,1.08017e-07,0.0544324,-1.5535,0.829784,0.160688,-2.84972,0.927647,2.57343,5.11105,0.00249737,0.00177233,0.000759516,0.000149586,550,537.736,541.182,5212.52,0.370019,0.372395,11927,15040,0,100,16.85,18.85,23.519,14.886,9.696,1023
11/07/2025 10:01:34.649,1,139.991,21.8233,23.9247,19.036,20.4641,21.8233,109016,28551,-2.75601,0.0330799,-4.9776e-05,3.4703e-08,0.0727012,-2.32226,1.02692,0.022109,-1.31281,0.913913,-10.2635,0.0840688,-0.00016297,1.16221e-07,0.0544198,-1.50666,0.829784,0.154718,-2.81839,0.927647,2.57351,5.10837,0.00260593,0.00174437,0.000582037,0.000143876,550,537.285,540.599,5018.71,0.371009,0.373303,11927,15104,0,100,16.85,18.85,23.558,14.876,9.668,1023
11/07/2025 10:01:35.642,1,139.959,21.8771,23.9198,19.1535,20.5325,21.8771,108985,28824,-2.77249,0.0332361,-5.02928e-05,3.52499e-08,0.0730611,-2.36065,1.02692,0.0221594,-1.3476,0.913913,-10.8295,0.0882574,-0.000173306,1.24695e-07,0.0547284,-1.52465,0.829784,0.149351,-2.81995,0.927647,2.57331,5.10628,0.00230013,0.00172876,0.000418697,0.000143681,550,539.783,542.999,4844.49,0.371949,0.374169,11927,15104,0,100,16.85,18.95,23.602,14.875,9.655,1023
11/07/2025 10:01:36.635,1,139.994,21.9314,23.9578,19.2425,20.5716,21.9314,109058,29102,-2.79846,0.0334812,-5.1132e-05,3.61505e-08,0.0745391,-2.29867,1.02692,0.0221736,-1.29895,0.913913,-11.6508,0.0943025,-0.000188172,1.36835e-07,0.0558308,-1.47672,0.829784,0.143027,-2.72394,0.927647,2.57352,5.10095,0.00533794,0.00175585,0.00199651,0.000151116,550,550.535,553.689,4639.23,0.372282,0.37441,11928,15104,0,100,16.85,18.95,23.641,14.879,9.673,1023
11/07/2025 10:01:37.628,1,139.972,21.9849,24.0086,19.2371,20.64,21.9849,109061,29377,-2.88004,0.0342554,-5.35884e-05,3.86922e-08,0.079738,-2.29199,1.02692,0.022192,-1.29472,0.913913,-13.1987,0.105578,-0.000215541,1.5893e-07,0.0598929,-1.46258,0.829784,0.139237,-2.61494,0.927647,2.57348,5.09801,0.0107693,0.00190336,0.00146365,0.000164662,550,588.757,592.082,4516.16,0.372684,0.374758,11927,15040,0,100,16.85,18.95,23.680,14.893,9.720,1023
11/07/2025 10:01:38.622,1,139.971,22.032,24.0596,19.2291,20.64,22.032,109050,29649,-2.98404,0.0352431,-5.66716e-05,4.18536e-08,0.0870209,-2.31204,1.02692,0.0221996,-1.31333,0.913913,-14.7174,0.11663,-0.000242301,1.80486e-07,0.0655569,-1.46733,0.829784,0.136335,-2.46991,0.927647,2.57348,5.09748,0.015815,0.00207533,0.00106035,0.000181946,550,642.363,645.962,4421.91,0.372893,0.374925,11926,15104,9,100,16.85,18.95,23.724,14.901,9.728,1023
11/07/2025 10:01:39.615,1,139.986,22.0234,24.1102,19.2719,20.679,22.0234,109121,29918,-3.06686,0.0360233,-5.91558e-05,4.44168e-08,0.095278,-2.24273,1.02692,0.0222071,-1.26155,0.913913,-16.0856,0.126516,-0.000266126,1.99568e-07,0.0720893,-1.41101,0.829784,0.13406,-2.26712,0.927647,2.57341,5.09239,0.0246395,0.00226713,0.00369738,0.0001963,550,703.348,707.261,4348.13,0.373004,0.375002,11927,15104,0,100,16.85,18.95,23.763,14.914,9.692,1023
11/07/2025 10:01:40.608,1,139.974,22.0776,24.162,19.3504,20.7377,22.0776,109094,30188,-3.19401,0.0372307,-6.29318e-05,4.8296e-08,0.103565,-2.27471,1.02692,0.0221881,-1.28691,0.913913,-17.8199,0.139078,-0.00029641,2.23858e-07,0.0787261,-1.4282,0.829784,0.133512,-2.11237,0.927647,2.57343,5.09151,0.0195452,0.00255355,0.00149147,0.000216583,550,764.291,768.554,4330.23,0.37278,0.374769,11927,15040,0,100,16.85,19.05,23.802,14.929,9.691,1023
