Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),Laser PID Readout,Det PID Readout,win0Fit0,win0Fit1,win0Fit2,win0Fit3,win0Fit4,win0Fit5,win0Fit6,win0Fit7,win0Fit8,win0Fit9,win1Fit0,win1Fit1,win1Fit2,win1Fit3,win1Fit4,win1Fit5,win1Fit6,win1Fit7,win1Fit8,win1Fit9,Det Bkgd,Ramp Ampl,Init Win0 Chi2,Final Win0 Chi2,Init Win1 Chi2,Final Win1 Chi2,Ref Pos,CO2 (ppm)-Wet,CO2 (ppm),H2O (ppm),N2O (ppm)-Wet,N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),Battery T (degC),FET T (degC),TEC Temp (degC),TEC Sink Temp (degC),TEC Power (W),Wall Code
11/03/2025 10:07:07.663,1,139.923,21.4514,23.6355,17.6786,19.917,21.4514,108610,25726,-2.77503,0.0333444,-5.01082e-05,3.49493e-08,0.0658616,-2.722,1.02692,0.0217292,-1.74939,0.913913,-16.9492,0.13219,-0.000277557,2.07181e-07,0.0511689,-1.73846,0.829784,0.235834,-2.48432,0.927647,2.5732,5.16082,207.283,0.00150564,151.162,0.00030797,550,487.751,492.239,7651.55,0.364001,0.367436,11961,15104,0,100,16.95,18.55,23.196,15.445,9.595,1023
11/03/2025 10:07:08.657,1,139.947,21.4834,23.6887,17.7328,19.956,21.4834,108666,26006,-2.75957,0.0332047,-4.9686e-05,3.45244e-08,0.0662465,-2.66723,1.02692,0.0216992,-1.6892,0.913913,-16.4228,0.128289,-0.000267931,1.99275e-07,0.0515663,-1.71092,0.829784,0.234803,-2.48515,0.927647,2.57327,5.16072,0.00186439,0.00149411,0.000322701,0.000311888,550,490.514,495.015,7617.96,0.363553,0.366969,11960,15104,0,100,16.95,18.55,23.237,15.421,9.619,1023
11/03/2025 10:07:09.650,1,139.952,21.5148,23.5988,17.7662,20.0244,21.5148,108649,26286,-2.76012,0.0332048,-4.96992e-05,3.45268e-08,0.0665587,-2.67785,1.02692,0.0216663,-1.68523,0.913913,-15.3503,0.120395,-0.000248623,1.83542e-07,0.0518037,-1.73026,0.829784,0.233543,-2.53195,0.927647,2.57323,5.1579,0.00203502,0.00152163,0.00070326,0.000315956,550,492.739,497.242,7576.94,0.363056,0.366448,11961,15104,0,100,16.95,18.65,23.282,15.394,9.646,1023
11/03/2025 10:07:10.643,1,139.942,21.5702,23.5899,17.8015,20.0537,21.5702,108693,26562,-2.77021,0.0333009,-5.00252e-05,3.48692e-08,0.0669515,-2.6557,1.02692,0.0216157,-1.65719,0.913913,-14.1459,0.111587,-0.000227206,1.662e-07,0.0520289,-1.72642,0.829784,0.232179,-2.55858,0.927647,2.57328,5.15558,0.00197233,0.00153016,0.000584944,0.000317004,550,495.494,500.002,7532.47,0.362302,0.365666,11960,15104,0,100,16.95,18.65,23.323,15.372,9.651,1023
11/03/2025 10:07:11.637,1,139.964,21.619,23.643,17.8346,20.1221,21.619,108735,26842,-2.78908,0.0334908,-5.06822e-05,3.55889e-08,0.0671295,-2.60163,1.02692,0.0215564,-1.60605,0.913913,-13.3294,0.105601,-0.000212628,1.54375e-07,0.0520189,-1.70125,0.829784,0.230783,-2.55613,0.927647,2.57328,5.15306,0.00228958,0.00155328,0.000646116,0.00032238,550,496.675,501.169,7486.97,0.361389,0.364724,11960,15168,0,100,16.95,18.65,23.363,15.349,9.646,1023
11/03/2025 10:07:12.630,1,139.963,21.6116,23.6961,17.8849,20.171,21.6116,108708,27122,-2.79311,0.0335289,-5.07965e-05,3.56923e-08,0.0672602,-2.63395,1.02692,0.021524,-1.62074,0.913913,-11.9958,0.0958971,-0.000189127,1.35427e-07,0.0519325,-1.73201,0.829784,0.229187,-2.62527,0.927647,2.57331,5.15244,0.00169843,0.00156883,0.000333664,0.000313577,550,497.663,502.137,7435.22,0.360835,0.36414,11961,15104,16,100,16.95,18.65,23.404,15.326,9.615,1023
11/03/2025 10:07:13.623,1,139.963,21.6675,23.7489,17.8907,20.2491,21.6675,108777,27408,-2.78857,0.0334846,-5.06799e-05,3.55794e-08,0.0673088,-2.57415,1.02692,0.0215133,-1.56752,0.913913,-10.89,0.0878773,-0.000169791,1.19902e-07,0.0517133,-1.69788,0.829784,0.226589,-2.63176,0.927647,2.57334,5.15051,0.00219189,0.00155811,0.00049199,0.000304383,550,497.867,502.292,7350.69,0.360749,0.364015,11959,15104,12,100,16.95,18.75,23.448,15.303,9.613,1023
11/03/2025 10:07:14.616,1,139.977,21.7225,23.8008,17.8783,20.2687,21.7225,108784,27690,-2.79609,0.0335593,-5.09442e-05,3.58685e-08,0.0673401,-2.56945,1.02692,0.0214921,-1.55785,0.913913,-9.86556,0.0804812,-0.000152044,1.05728e-07,0.0514863,-1.70116,0.829784,0.223569,-2.66902,0.927647,2.57358,5.1489,0.00177417,0.00159086,0.000437861,0.000295915,550,497.945,502.311,7252.51,0.360486,0.363706,11960,15104,14,100,16.95,18.75,23.489,15.293,9.653,1023
11/03/2025 10:07:15.610,1,139.983,21.757,23.8541,17.8639,20.3468,21.757,108784,27969,-2.80978,0.0336894,-5.13782e-05,3.63245e-08,0.0673154,-2.58245,1.02692,0.0214849,-1.56117,0.913913,-9.20314,0.0757348,-0.000140755,9.67859e-08,0.051237,-1.71174,0.829784,0.220232,-2.71701,0.927647,2.57349,5.14671,0.0019386,0.00162763,0.000542863,0.000281849,550,497.666,501.964,7144.11,0.360423,0.363594,11959,15232,0,100,16.95,18.85,23.529,15.274,9.654,1023
11/03/2025 10:07:16.603,1,139.955,21.7627,23.9064,17.8439,20.3566,21.7627,108851,28246,-2.8046,0.0336419,-5.12287e-05,3.6167e-08,0.067446,-2.51383,1.02692,0.0214905,-1.50208,0.913913,-8.59876,0.0714258,-0.000130537,8.87279e-08,0.0511219,-1.66799,0.829784,0.216256,-2.7,0.927647,2.57329,5.14691,0.00218586,0.00164399,0.00028256,0.000262461,550,498.616,502.846,7015.14,0.360527,0.363641,11960,15168,15,100,16.95,18.85,23.569,15.253,9.685,1023
