Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CO2 (ppm),H2O (ppm),N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code
11/21/2025 09:36:29.657,1,139.928,24.9561,27.2368,21.7696,23.9814,24.9561,548.005,5847.95,0.376704,11888,14912,0,100,18.982,1023
11/21/2025 09:36:30.650,1,139.942,25.0041,27.2901,21.796,24.0596,25.0041,547.477,5897.64,0.376677,11888,14912,0,100,18.973,1023
11/21/2025 09:36:31.643,1,139.948,25.0598,27.2968,21.7894,24.0791,25.0598,547.035,5922.33,0.376446,11888,14912,11,100,18.964,1023
11/21/2025 09:36:32.637,1,139.945,25.1166,27.3195,21.7823,24.1573,25.1166,547.412,5950,0.375584,11889,14912,0,100,18.955,1023
11/21/2025 09:36:33.630,1,139.949,25.1723,27.3729,21.7584,24.2062,25.1723,548.715,5975.38,0.375068,11888,14912,0,100,18.946,1023
11/21/2025 09:36:34.623,1,139.958,25.2273,27.4257,21.7777,24.255,25.2273,550.367,5980.01,0.374378,11890,14912,0,100,18.937,1023
11/21/2025 09:36:35.616,1,139.967,25.2348,27.4786,21.8308,24.3234,25.2348,551.449,5966.85,0.373105,11888,14912,0,100,18.928,1023
11/21/2025 09:36:36.610,1,139.962,25.2575,27.532,21.8615,24.3527,25.2575,553.322,5965.03,0.372246,11888,14912,0,100,18.922,1023
11/21/2025 09:36:37.603,1,139.979,25.3134,27.5846,21.8259,24.4016,25.3134,552.468,5896.08,0.371386,11889,14912,0,100,18.914,1023
11/21/2025 09:36:38.596,1,139.968,25.3688,27.5591,21.8849,24.4504,25.3688,552.464,5817.82,0.370281,11889,14912,0,100,18.906,1023
11/21/2025 09:36:39.590,1,139.97,25.4244,27.6114,21.9692,24.5188,25.4244,551.858,5730.88,0.369437,11888,14912,0,100,18.901,1023
11/21/2025 09:36:40.583,1,139.974,25.4796,27.6638,22.0155,24.5481,25.4796,551.669,5661.99,0.368563,11888,14848,0,100,18.894,1023
11/21/2025 09:36:41.576,1,139.978,25.528,27.7166,22.0556,24.6165,25.528,550.992,5550.01,0.368493,11888,14976,0,100,18.888,1023
11/21/2025 09:36:42.569,1,139.957,25.527,27.7694,22.0718,24.6458,25.527,552.566,5481.26,0.368819,11888,14976,0,100,18.880,1023
11/21/2025 09:36:43.563,1,139.99,25.5818,27.8205,22.1202,24.7142,25.5818,551.503,5362.04,0.368992,11888,14912,0,100,18.880,1023
11/21/2025 09:36:44.556,1,139.973,25.6365,27.8476,22.1218,24.7435,25.6365,550.621,5274.19,0.369103,11888,14912,0,100,18.874,1023
11/21/2025 09:36:45.549,1,139.969,25.649,27.8621,22.124,24.8217,25.649,550.695,5193.9,0.369994,11889,14912,0,100,18.866,1023
11/21/2025 09:36:46.543,1,139.978,25.663,27.9138,22.109,24.8412,25.663,551.004,5126.65,0.37145,11888,14976,0,100,18.858,1023
11/21/2025 09:36:47.536,1,139.984,25.7172,27.9658,22.1299,24.9194,25.7172,550.454,5033.96,0.373016,11888,14912,12,100,18.850,1023
11/21/2025 09:36:48.529,1,139.968,25.7724,28.0171,22.1383,24.9389,25.7724,550.511,4980.62,0.374504,11889,14912,0,100,18.842,1023
11/21/2025 09:36:49.522,1,139.982,25.8265,28.0695,22.138,25.0269,25.8265,551.669,4925.99,0.376622,11889,14912,12,100,18.836,1023
11/21/2025 09:36:50.516,1,139.969,25.8808,28.1209,22.1747,25.0366,25.8808,552.241,4881.22,0.378387,11888,14912,0,100,18.830,1023
11/21/2025 09:36:51.509,1,139.983,25.9351,28.0931,22.2046,25.1343,25.9351,553.305,4862.72,0.380398,11889,14848,0,100,18.824,1023
11/21/2025 09:36:52.502,1,139.984,25.9138,28.1443,22.2507,25.1343,25.9138,553.39,4804.39,0.380942,11888,14912,6,100,18.818,1023
11/21/2025 09:36:53.495,1,139.987,25.9597,28.1956,22.2787,25.1539,25.9597,553.335,4785.19,0.381418,11888,14912,14,100,18.811,1023
11/21/2025 09:36:54.489,1,139.982,26.0136,28.247,22.245,25.232,26.0136,553.471,4762.7,0.3824,11889,14912,0,100,18.803,1023
11/21/2025 09:36:55.482,1,139.977,26.0671,28.2976,22.2731,25.3102,26.0671,552.69,4759.27,0.382552,11888,14912,0,100,18.797,1023
11/21/2025 09:36:56.475,1,139.983,26.1211,28.3491,22.2805,25.3298,26.1211,552.558,4745.72,0.382565,11889,14912,0,100,18.791,1023
11/21/2025 09:36:57.469,1,139.994,26.1755,28.3494,22.2583,25.4177,26.1755,551.998,4780.17,0.382837,11888,14848,4,100,18.785,1023
11/21/2025 09:36:58.462,1,139.979,26.2032,28.1996,22.3066,25.447,26.2032,551.171,4794.76,0.382322,11888,14848,4,100,18.778,1023
11/21/2025 09:36:59.455,1,139.977,26.1982,28.2501,22.3636,25.5154,26.1982,550.748,4828.17,0.382042,11888,14848,0,100,18.771,1023
11/21/2025 09:37:00.448,1,139.978,26.2514,28.3009,22.3753,25.5349,26.2514,550.249,4886.42,0.381572,11888,14912,0,100,18.765,1023
11/21/2025 09:37:01.442,1,139.994,26.3049,28.3515,22.388,25.6229,26.3049,549.56,4949.08,0.380932,11888,15040,0,100,18.758,1023
